Accident Number,Date and Time,Number of Motor Vehicles,Number of Injuries,Number of Fatalities,Property Damage,Hit and Run,Reporting Officer,Collision Type Code,Collision Type Description,Weather Code,Weather Description,Illumination Code,Illumination Description,Harmful Code,Harmful Code Description,Street Address,City,State,ZIP,RPA,Precinct,Latitude,Longitude,Mapped Location
20190655529,09/02/2019 12:00:00 AM,2,0,0,,N,298877,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,NOLENSVILLE PKE & HARDING PL,NASHVILLE,TN,37211,8501,MIDTOW,36.0807,-86.7267,POINT (-86.7267 36.0807)
20190758084,10/16/2019 05:44:00 AM,1,1,0,,N,110090,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,3,DARK - LIGHTED,24,GUARDRAIL FACE,I24 E EXT RAMP & I 24,NASHVILLE,TN,37207,30080,NORTH,36.2378,-86.7872,POINT (-86.7872 36.2378)
20190764754,10/18/2019 08:00:00 PM,2,0,0,,N,352207,11,Front to Rear,21,CLEAR,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,I440 W ENT RAMP & I 440,NASHVILLE,TN,37210,81021,SOUTH,36.1259,-86.7322,POINT (-86.7322 36.1259)
20190841709,11/20/2019 05:45:00 PM,2,0,0,,N,240955,11,Front to Rear,21,CLEAR,5,DUSK,12,MOTOR VEHICLE IN TRANSPORT,MURFREESBORO PKE & BELL RD,ANTIOCH,TN,37013,8865,SOUTH,36.072,-86.636,POINT (-86.636 36.072)
20190856494,11/27/2019 02:59:00 AM,1,0,0,,Y,256569,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,2,DARK - NOT LIGHTED,34;42,DITCH;TREE,STATE HWY 45 & HICKORY INDUSTRIAL DR,OLD HICKORY,TN,37138,9619,HERMIT,36.2665,-86.6703,POINT (-86.6703 36.2665)
20190831102,11/16/2019 08:50:00 AM,2,0,0,,N,348631,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,DOUGLAS AV & GALLATIN AV,NASHVILLE,TN,37206,1325,EAST,36.1927,-86.7444,POINT (-86.7444 36.1927)
20190907258,12/19/2019 07:15:00 AM,2,0,0,,Y,665896,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 211 1 I 40,NASHVILLE,TN,37210,8008,HERMIT,36.1539,-86.7571,POINT (-86.7571 36.1539)
20190875476,12/05/2019 04:24:00 PM,2,0,0,,N,580819,4,ANGLE,21,CLEAR,5,DUSK,12,MOTOR VEHICLE IN TRANSPORT,N 1ST ST & MAIN ST,NASHVILLE,TN,37213,1133,CENTRA,36.1701,-86.7728,POINT (-86.7728 36.1701)
20190662202,09/05/2019 01:39:00 PM,2,0,0,,Y,134899,98,OTHER,21,CLEAR,1,DAYLIGHT,12;14,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE,LEBANON PKE & FAIRWAY DR,NASHVILLE,TN,37214,9109,HERMIT,36.1691,-86.6824,POINT (-86.6824 36.1691)
20190781120,10/25/2019 08:30:00 PM,2,0,0,,Y,110090,4,ANGLE,2,RAIN,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,BELL RD & MT VIEW RD,ANTIOCH,TN,37013,8865,SOUTH,36.05,-86.6496,POINT (-86.6496 36.05)
20190608557,08/15/2019 11:28:00 AM,1,1,0,,N,191578,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,1,,BRILEY PKWYN & I40 E ENT RAMP,NASHVILLE,TN,37217,8998,HERMIT,36.1392,-86.7002,POINT (-86.7002 36.1392)
